	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
experience			0.00430	-0.484*		-0.0358	-0.0152
			(0.00789)	(0.248)		(0.275)	(0.0118)
experience_sq			0.000770	0.243*		-0.0792	0.0129
			(0.00244)	(0.138)		(0.141)	(0.0102)
education_Below_primary			0.0121	-0.00393		-0.0293	0.00260
			(0.0142)	(0.0332)		(0.0275)	(0.00247)
education_Primary			0.0198	0.0194		-0.101**	-0.00257
			(0.0251)	(0.0580)		(0.0422)	(0.00272)
education_Tenth_grade			-0.00500	-0.0291		-0.0791**	0.000838
			(0.0129)	(0.0380)		(0.0307)	(0.00144)
education_Secondary			0.00215	-0.0180		-0.0309*	0.000428
			(0.0236)	(0.0189)		(0.0180)	(0.00169)
education_Bachelor			0.0550**	-0.0609***		-0.0158	0.00157
			(0.0238)	(0.0147)		(0.0139)	(0.00902)
education_Masters_above			0.0790***	-0.0698***		0.00762	0.00297
			(0.0173)	(0.0119)		(0.00739)	(0.0157)
caste_group_6_Janajati			-0.0112**	0.0173		-0.0377	-2.19e-05
			(0.00536)	(0.0409)		(0.0473)	(0.00132)
caste_group_6_Adhibasi			-0.00251	0.00962		-0.0108	-0.000437
			(0.00828)	(0.0184)		(0.0159)	(0.00106)
caste_group_6_Madhesi			0.000939	0.00801		-0.0475**	0.00224
			(0.00147)	(0.0165)		(0.0208)	(0.00216)
caste_group_6_Dalit			0.00538	0.0146		-0.0262	0.00111
			(0.0140)	(0.0236)		(0.0207)	(0.00176)
caste_group_6_Others			-0.0126	0.0261		-0.0146	-0.000464
			(0.0103)	(0.0183)		(0.0149)	(0.000956)
hh_size			-0.00183	-0.108		0.270*	-0.0150*
			(0.00222)	(0.127)		(0.141)	(0.00816)
female			-0.000370	0.0302		0.0427	0.00195
			(0.000873)	(0.0283)		(0.0320)	(0.00225)
married			-0.0102	-0.0889		0.127	0.000370
			(0.0114)	(0.0957)		(0.0953)	(0.00100)
child_12			0.0102	0.0697		-0.135**	0.00894*
			(0.00739)	(0.0590)		(0.0650)	(0.00460)
voc_train			0.0101*	0.00153		0.0158	0.00269
			(0.00564)	(0.0193)		(0.0202)	(0.00232)
migrated_fr_job			0.00128	-0.0768**		0.0379	0.0140***
			(0.00276)	(0.0355)		(0.0329)	(0.00528)
tot_chores_hrs			-0.00134	-0.00158		-0.00766	-0.000849
			(0.00165)	(0.0367)		(0.0388)	(0.00133)
urban			0.00876	0.00642		-0.103	-0.00335
			(0.00541)	(0.0684)		(0.0777)	(0.00262)
overtime_40			0.0212***	0.0621		0.377***	0.0494***
			(0.00753)	(0.0499)		(0.0759)	(0.0121)
group_1	4.695***						
	(0.0293)						
group_c	4.278***						
	(0.0355)						
group_2	4.145***						
	(0.0357)						
tdifference	0.550***						
	(0.0462)						
t_explained	0.417***						
	(0.0460)						
t_unexplained	0.133***						
	(0.0503)						
total		0.417***			0.133***		
		(0.0460)			(0.0503)		
p_explained		0.186***					
		(0.0413)					
specif_err		0.231***					
		(0.0595)					
rwg_error					0.0642***		
					(0.0244)		
p_unexplained					0.0691		
					(0.0484)		
Constant				0.663**		-0.0557	
				(0.286)		(0.274)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
